"id";"content";"from_source";"link";"map_location";"time";"type";"user_name"
1;"Used YouTube";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Oct 3, 2018, 10:58:28 PM EDT";"YouTube";"kevin"
2;"Used YouTube";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Oct 3, 2018, 2:28:50 PM EDT";"YouTube";"kevin"
3;"Used YouTube";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Oct 3, 2018, 9:19:40 AM EDT";"YouTube";"kevin"
4;"Used YouTube";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Oct 2, 2018, 9:02:08 PM EDT";"YouTube";"kevin"
5;"Used YouTube";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Oct 2, 2018, 9:24:43 AM EDT";"YouTube";"kevin"
6;"Used YouTube";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Oct 1, 2018, 10:38:37 PM EDT";"YouTube";"kevin"
7;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 28, 2018, 3:04:38 PM EDT";"YouTube";"kevin"
8;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 28, 2018, 1:57:44 PM EDT";"YouTube";"kevin"
9;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 27, 2018, 9:29:37 PM EDT";"YouTube";"kevin"
10;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 26, 2018, 11:16:20 AM EDT";"YouTube";"kevin"
11;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 24, 2018, 3:31:35 PM EDT";"YouTube";"kevin"
12;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 24, 2018, 1:12:05 PM EDT";"YouTube";"kevin"
13;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 24, 2018, 9:04:01 AM EDT";"YouTube";"kevin"
14;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 23, 2018, 11:40:10 PM EDT";"YouTube";"kevin"
15;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 23, 2018, 11:02:36 PM EDT";"YouTube";"kevin"
16;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 23, 2018, 10:02:18 PM EDT";"YouTube";"kevin"
17;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 23, 2018, 4:46:44 PM EDT";"YouTube";"kevin"
18;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 22, 2018, 11:26:26 PM EDT";"YouTube";"kevin"
19;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 22, 2018, 1:57:18 PM EDT";"YouTube";"kevin"
20;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 22, 2018, 7:27:51 AM EDT";"YouTube";"kevin"
21;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 22, 2018, 6:56:46 AM EDT";"YouTube";"kevin"
22;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 22, 2018, 12:54:24 AM EDT";"YouTube";"kevin"
23;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 21, 2018, 5:30:47 PM EDT";"YouTube";"kevin"
24;"Used YouTub";"AdsDetail";"https://play.google.com/store/apps/details?id=com.google.android.youtube";"";"Sep 21, 2018, 11:48:42 AM EDT";"YouTube";"kevin"
25;"Visited https://www.youtube.com/watch?v=p-2_BgckkCI";"AdsDetail";"https://www.youtube.com/watch?v=p-2_BgckkCI";"";"Sep 20, 2018, 10:29:24 PM EDT";"youtube.com";"kevin"
26;"Visited ??Full2018????????9??????????PK????Tiger ...";"AdsDetail";"https://www.youtube.com/watch?v=BxiuDIzXXPo";"";"Sep 20, 2018, 9:48:26 PM EDT";"youtube.com";"kevin"
27;"Visited ??????????????2?3?4?????????????? ...";"AdsDetail";"https://www.youtube.com/watch?v=MeghpOC6Ra4";"";"Sep 20, 2018, 8:09:54 PM EDT";"youtube.com";"kevin"
28;"Visited ???????????????????????????????? ...";"AdsDetail";"https://www.youtube.com/watch?v=chqSZ_eOgVI";"";"Sep 20, 2018, 7:39:37 PM EDT";"youtube.com";"kevin"
29;"Visited ??????????????????????????????? ...";"AdsDetail";"https://www.youtube.com/watch?v=m3QbPMpepZs";"";"Sep 20, 2018, 7:25:59 PM EDT";"youtube.com";"kevin"
30;"Visited ?????????????????????????????? ...";"AdsDetail";"https://www.youtube.com/watch?v=Nq6zdV16aLA";"";"Sep 20, 2018, 6:38:02 PM EDT";"youtube.com";"kevin"
31;"Visited ?????????????0???????????? ... - YouTub";"AdsDetail";"https://www.youtube.com/watch?v=AYSTKS89pPk";"";"Sep 20, 2018, 5:22:50 PM EDT";"youtube.com";"kevin"
